日付,区分,時限,科目コード,科目名,担当教員,講義室
4(火),期末試験,1-2,ARC.P305,国土・都市計画論,"中井 検裕,十代田 朗Nakai Norihiro, Soshiroda Akira",W933
4(火),期末試験,1-2,CAP.A355,触媒プロセス化学第二（均一系）,"桑田 繁樹,村橋 哲郎Kuwata Shigeki, Murahashi Tetsuro",S423
4(火),期末試験,1-2,CVE.D211,国土・都市計画概論,"朝倉 康夫,中井 検裕Asakura Yasuo,Nakai Norihiro","W933,M111"
4(火),授業,1-2,ICT.M316,数値解析（情報通信）,"金子 寛彦,長谷川 晶一Kaneko Hirohiko,Hasegawa Shoichi",W621
4(火),期末試験,1-2,IEE.B204,マクロ経済学第二,大土井 涼二Ohdoi Ryoji,W935
4(火),期末試験,1-2,LAL.F204-01,フランス語初級４ F01 French: Basic Course 4 F01,JEAN FRANCOISE MARIE-MONIQUEJean Francoise,3ラボ
4(火),授業,1-2,LAS.C105-15,量子化学基礎 M,大島 康裕Ohshima Yasuhiro,W631
4(火),授業&試験,1-2,LAS.C105-18,量子化学基礎 P,腰原 伸也Koshihara Shinya,W611
4(火),授業,1-2,LAS.P104-12,電磁気学基礎２ L,平山 博之Hirayama Hiroyuki,H136
4(火),授業,1-2,LST.A248,遺伝学,"立花 和則, 若林 憲一 他Tachibana Kazunori, Wakabayashi Ken-Ichiet al.",H121
4(火),期末試験,1-2,MAT.C316,生体材料学,"生駒 俊之,※陳 国平Ikoma Toshiyuki,※Chen Guoping",S7-202
4(火),期末試験,3-4,ARC.E202,建築環境設備学（建築設備）,"湯淺 和博,鍵 直樹 他Yuasa Kazuhiro,Kagi Naoki et al.",W935
4(火),授業&試験,3-4,CAP.A331,上級有機化学第四（有機反応化学）,田中 健Tanaka Ken,S221
4(火),授業&試験,3-4,CAP.B219-01,物理化学（分子運動論） A,和田 裕之Wada Hiroyuki,S421
4(火),授業&試験,3-4,CAP.B219-02,物理化学（分子運動論） B,中嶋 健Nakajima Ken,S622
4(火),期末試験,3-4,CHM.C202,化学統計熱力学,西野 智昭Nishino Tomoaki,H113
4(火),期末試験,3-4,CHM.D331,合成有機化学,大森 建，鈴木 啓介Ohmori Ken，Suzuki Keisuke,H104
4(火),授業,3-4,CSC.T375,システム構築演習,"佐伯 元司,小林 隆志 他Saeki Motoshi,Kobayashi Takashi et al.",情報工学系計算機室
4(火),期末試験,3-4,CVE.B202,水理学第二,"鼎 信次郎,吉村 千洋Kanae Shinjiro,Yoshimura Chihiro",M114
4(火),期末試験,3-4,CVE.N301,土木史・土木技術者倫理,"朝倉 康夫,北詰 昌樹 他Asakura Yasuo,Kitazume Masaki et al.",M113
4(火),期末試験,3-4,EEE.P322,電力工学第二,"七原 俊也,河邊 賢一Nanahara Toshiya,Kawabe Kenichi",S423
4(火),授業,3-4,ICT.I317,組み込みシステム,"長谷川 晶一,中原 啓貴Hasegawa Shoichi,Nakahara Hiroki",W621
4(火),授業,3-4,IEE.C301,経営情報システム,妹尾 大Senoo Dai,W933
4(火),期末試験,3-4,LAL.F204-03,フランス語初級４ F03 French: Basic Course 4 F03,JEAN FRANCOISE MARIE-MONIQUEJean Francoise,3ラボ
4(火),授業,3-4,LAS.C107-15,化学熱力学基礎 E,沖本 洋一Okimoto Yoichi,W241
4(火),期末試験,3-4,LAS.C107-17,化学熱力学基礎 G,河村 憲一Kawamura Kenichi,W521
4(火),期末試験,3-4,LAS.P104-05,電磁気学基礎２ E,陣 内  修 Jinnouchi Osamu,H101
4(火),期末試験,3-4,LAS.P104-14,電磁気学基礎２ N,大熊 哲Okuma Satoshi,W631
4(火),授業,3-4,LAS.P104-16,電磁気学基礎２ P,西田 祐介Nishida Yusuke,H114
4(火),授業,3-4,LST.A246,生命情報学,"伊藤 武彦,櫻井 実 他Itoh Takehiko,Sakurai Minoru et al.",H121
4(火),期末試験,3-4,MAT.C314,環境の科学,"宮内 雅浩,※徳留 弘優Miyauchi Masahiro,※Tokudome Hiromasa",S7-202
4(火),期末試験,3-4,MAT.M301,金属材料解析,"曽根 正人,稲邑 朋也 他Sone Masato, Inamura Tomonari et al.",S8-101
4(火),授業,3-4,MCS.T232,複素解析,"西畑 伸也,梅原 雅顕 他Nishibata Shinya,Umehara Masaaki et al.",W932
4(火),期末試験,3-4,MTH.C331,複素解析続論,藤川 英華Fujikawa Ege,H136
4(火),授業,3-4,PHY.C341,物性物理学I,"平原 徹,平山 博之Hirahara Toru, Hirayama Hiroyuki",H116
4(火),期末試験,3-4,TSE.A201-02,材料・物性工学基礎,"髙橋 邦夫,日野出 洋文 他Takahashi Kunio,Hinode Hirofumi et al.",S515
4(火),期末試験,3-4,TSE.A201-03,材料・物性工学基礎,"髙橋 邦夫,日野出 洋文 他Takahashi Kunio,Hinode Hirofumi et al.",S514
4(火),授業,3-4,ZUA.A203,代数学概論第二,内藤 聡Naito Satoshi,H112
4(火),授業,3-8,MEC.H331,機械設計製図,"大河 誠司,平田 敦 他Okawa SeijiHirata Atsushi et al.","石川台3号館301,302,303,310号室,石川台6号館315号室"
4(火),授業,3-8,MEC.Q201,機械システム学,"赤坂 大樹,髙原 弘樹 他Akasaka Hiroki,Takahara Hiroki et al.","石川台3号館,201A,201B,201C号,室"
4(火),授業,3-8,MTH.A204,代数学概論第四,"内藤 聡, KELLY SHANE ANDREW 他Naito Satoshi,Kelly Shane et al.",H112
4(火),授業,5-6,TSE.A314,水・物質循環システム概論,木内 豪Kinouchi Tsuyoshi,S515
4(火),授業&試験,5-6,CAP.P342,生体高分子,澤田 敏樹Sawada Toshiki,S422
4(火),授業,5-6,CSC.T374,システム制御,石井 秀明Ishii Hideaki,W611
4(火),授業,5-6,CVE.M302,応用数値解析・演習,中村 恭志Nakamura Takashi,W934
4(火),期末試験,5-6,EEE.C261,制御工学,"千葉 明,西方 敦博Chiba Akira,Nishikata Atsuhiro",S221
4(火),期末試験,5-6,ICT.C315,暗号技術とネットワークセキュリティ,"尾形 わかは，北口 善明Ogata Wakaha, Kitaguchi Yoshiaki",W331
4(火),期末試験,5-6,ICT.H217,論理と推論,"奥村 学,篠﨑 隆宏Okumura Manabu,Shinozaki Takahiro",W323
4(火),授業,5-6,LAS.C107-16,化学熱力学基礎 F,伊原 学Ihara Manabu,W641
4(火),期末試験,5-6,MAT.M206,金属の電子構造と物性,"史 蹟,中村 吉男Shi Ji,Nakamura Yoshio",S8-101
4(火),期末試験,5-6,MAT.P214,有機化学(反応)B,早川 晃鏡Hayakawa Teruaki,S8-102
4(火),授業,5-6,PHY.F352,宇宙物理学,河 合 誠 之 Kawai Nobuyuki,H135
4(火),期末試験,5-6,TSE.A305,電磁気学（融合理工）,"飯尾 俊二,片渕 竜也Iio Shunji, Katabuchi Tatsuya",S611
4(火),期末試験,5-6,TSE.M202-02,偏微分方程式と物理現象,"木内 豪中村 恭志 他,Kinouchi TsuyoshiNakamura Takashi et al.",S621
4(火),期末試験,5-7,ARC.S203,建築構造力学第一,"竹内 徹,田村 修次 他Takeuchi ToruTamura Shuji et al.",W351
4(火),期末試験,5-8,IEE.B206,実験経済学,"大和 毅彦, 數村 友也Yamato Takehiko, Kazumura Tomoya",W935
4(火),授業,5-8,MAT.P352,有機材料工学実験第三,"森川 淳子,赤坂 修一 他Morikawa Junko,Akasaka Syuichi et al.","S8-108,S8-109"
4(火),授業,5-8,ZUA.A204,代数学演習Ａ第二,"内藤 聡,KELLY SHANE ANDREW 他Naito Satoshi, Kelly Shane et al.",H112
4(火),授業,7-8,CAP.P343,高分子工業化学,芹澤 武Serizawa Takeshi,S421
4(火),授業,7-8,EEE.C341,集積回路工学,若 林 整 Wakabayashi Hitoshi,S221
4(火),授業,7-8,ICT.I216,計算機論理設計（情報通信）,"一色 剛, 渡辺 義浩Isshiki Tsuyoshi, Watanabe Yoshihiro",S422
4(火),期末試験,7-8,MAT.C206,セラミックスプロセシング,"中島 章,磯部 敏宏Nakajima Akira,Isobe Toshihiro",S7-201
4(火),授業,7-8,PHY.L210,計算物理,※板橋 健太※Itahashi Kenta,南4号館情報ネットワーク演習室第２演習室
4(火),授業,7-8,TSE.A317,環境流体力学基礎,中村 恭志Nakamura Takashi,S621
5(水),期末試験,1-2,EEE.S341,通信理論（電気電子）,"植之原 裕行,青柳 貴洋Uenohara Hiroyuki,Aoyagi Takahiro",S221
5(水),期末試験,1-2,LAE.E154-03,TOEFL対策セミナー（リスニング＆スピーキング）第四 3,安納 真理子Anno Mariko,W641
5(水),授業&試験,1-2,LAE.E254,TOEFL対策セミナー（リスニング＆スピーキング）第八,※原賀 真紀子※Haraga Makiko,W371
5(水),授業,1-2,LAL.C204-09,中国語初級４ C09,※陳 焔※Chen Yen,H116
5(水),期末試験,1-2,LAL.F204-04,フランス語初級４ F04,JEAN FRANCOISE MARIE-MONIQUEJean Francoise,4ラボ
5(水),授業,1-2,LAL.S354,スペイン語４,※大場 樹精※Oba Kodama,H118
5(水),期末試験,1-2,LAS.I122-05,コンピュータサイエンス第二 3a(CS2),※坂野 遼平※Banno Ryohei,W351
5(水),授業,1-2,LAS.M107-09,微分積分学演習第二 W,PURKAIT SOMAPurkait Soma,H111
5(水),期末試験,1-2,TSE.A204-02,反応工学基礎,"日野出 洋文,江頭 竜一 他Hinode Hirofumi, Egashira Ryuichi et al.",S622
5(水),期末試験,3-4,CAP.C211,エネルギー操作,森 伸介Mori Shinsuke,S421
5(水),期末試験,3-4,LAE.E164,TOEIC対策セミナー第四,木内 久美子Kiuchi Kumiko,W611
5(水),授業&試験,3-4,LAE.E258,TOEFL対策セミナー（リーディング＆ライティング）第八,※原賀 真紀子※Haraga Makiko,W371
5(水),授業,3-4,LAL.C204-14,中国語初級４ C14,※陳 焔※Chen Yen,W323
5(水),期末試験,3-4,LAL.R204-07,ロシア語初級４ R07,※鈴木 佑也※Suzuki Yuya,"1ラボ,Language Lab 1"
5(水),授業&試験,3-4,LAS.I122-08,コンピュータサイエンス第二 4b(CS2),永籐 直行Nagatou Naoyuki,W631
5(水),期末試験,3-4,MEC.C211-01,弾塑性力学 A,"井上 裕嗣,水谷 義弘Inoue Hirotsugu,Mizutani Yoshihiro","W241,W242"
5(水),期末試験,3-4,MEC.C211-02,弾塑性力学 B,"井上 裕嗣,水谷 義弘Inoue Hirotsugu, Mizutani Yoshihiro","W241,W242"
5(水),期末試験,3-4,TSE.M204-02,統計とデータ解析,"花岡 伸也,高橋 史武 他Hanaoka Shinya, Takahashi Fumitake et al.",S514
5(水),授業,5-6,LAE.E112-42,英語第二 再2,原田 大介Harada Daisuke,H137
5(水),授業&試験,5-6,LAE.E144,英語プレゼンテーション演習第四,※原賀 真紀子※Haraga Makiko,W242
5(水),授業,5-6,LAE.E212-50,英語第六 再2,原田 大介Harada Daisuke,H137
5(水),期末試験,5-6,LAL.F234,フランス語セミナー（入門・基礎）４,JEAN FRANCOISE MARIE-MONIQUEJean Francoise,西3号館8階会議室
5(水),期末試験,5-6,MTH.C361,確率論,二宮 祥一Ninomiya Syoiti,H103
5(水),授業,5-8,LAE.E362,アカデミックライティング第十二,KIYAMA LORINDA ROBERTSONKiyama Lorinda,H104
5(水),期末試験,7-8,CAP.C213,化学プロセスシステム第一（解析・合成）,松本 秀行Matsumoto Hideyuki,S421
5(水),授業,7-8,LAH.H159,人文学系ゼミ（博物館と歴史学）導入２,福留 真紀Fukutome Maki,W9-714
5(水),授業,7-8,LAH.H259,人文学系ゼミ（博物館と歴史学）２,福留 真紀Fukutome Maki,W9-714
5(水),授業,7-8,LAH.H367,人文学系ゼミ（博物館と歴史学）４,福留 真紀Fukutome Maki,W9-714
5(水),期末試験,7-8,LAL.F364,フランス語セミナー（応用・留学）４,JEAN FRANCOISE MARIE-MONIQUEJean Francoise,西3号館8階会議室
6(木),授業,1-2,CVE.D313,インフラストラクチャーの都市計画,室町 泰徳Muromachi Yasunori,M111
6(木),授業,1-2,LAE.E114-03,英語第四 3-LS-ADV,※NARUM PAUL TIMOTHY※Narum Paul,W332
6(木),授業,1-2,LAE.E114-04,英語第四 4-LS,※YAMADA SUSAN KAY ADAMS※Suzan Yamada,W371
6(木),授業,1-2,LAE.E114-05,英語第四 5-LS,※松井 恭子※Matsui Kyoko,H104
6(木),授業,1-2,LAE.E114-07,英語第四 7-LS,※中村 彰※Nakamura Akira,3ラボ
6(木),授業,1-2,LAE.E114-13,英語第四 13-RW,※小堀 洋※Kobori Hiroshi,H103
6(木),授業,1-2,LAE.E114-23,英語第四 23-LS-ADV,※STONEBURGH MARK※Stoneburgh Mark,W322
6(木),授業,1-2,LAE.E114-28,英語第四 28-LS,※蒔田 裕美※Makita Hiromi,H102
6(木),授業,1-2,LAE.E114-29,英語第四 29-LS,KIYAMA LORINDA ROBERTSONKiyama Lorinda,W834
6(木),期末試験,1-2,LAE.E234,英語スピーキング演習第八,安納 真理子Anno Mariko,W833
6(木),授業&試験,1-2,LAE.E334,英語スピーキング演習第十二,※JONATHAN ABEL※Abel Jonathan,H119B
6(木),期末試験,1-2,LAH.H203,文化人類学Ｂ,※田中 理恵子※Tanaka Rieko,W621
6(木),期末試験,1-2,LAH.H217,教養特論：アートとデザイン,※田中 みゆき※Tanaka Miyuki,W9-714
6(木),授業,1-2,LAL.G204-01,ドイツ語初級４ D11,※小笠原 能仁※Ogasawara Yoshihito,W611
6(木),期末試験,1-2,LAS.I122-10,コンピュータサイエンス第二 5b(CS2),※伊知地 宏※Ichiji Hiroshi,W323
6(木),期末試験,1-2,LAS.M105-07,微分積分学第二 O(21～30),※梶原 健※Kajiwara Takeshi,H101
6(木),期末試験,3-4,CAP.P212,高分子化学第二（連鎖重合）,佐藤 浩太郎Satoh Kotaro,W933
6(木),期末試験,3-4,CVE.M203,測量学,"千々和 伸浩,※新名 恭仁Chijiwa Nobuhiro, ※Nina Yasuhito",M113
6(木),授業,3-4,LAE.E214-03,英語第八 3-LS-ADV,※NARUM PAUL TIMOTHY※Narum Paul,W332
6(木),授業,3-4,LAE.E214-04,英語第八 4-LS,※YAMADA SUSAN KAY ADAMS※Suzan Yamada,W322
6(木),授業,3-4,LAE.E214-06,英語第八 6-LS,※松井 恭子※Matsui Kyoko,H104
6(木),授業,3-4,LAE.E214-08,英語第八 8-LS,※中村 彰※Nakamura Akira,3ラボ
6(木),授業,3-4,LAE.E214-13,英語第八 13-RW,※小堀 洋※Kobori Hiroshi,H113
6(木),授業&試験,3-4,LAE.E214-25,英語第八 25-LS,※STONEBURGH MARK※Stoneburgh Mark,W242
6(木),授業,3-4,LAE.E214-28,英語第八 28-LS,※蒔田 裕美※Makita Hiromi,H102
6(木),授業,3-4,LAE.E214-30,英語第八 30-LS,DE FERRANTI HUGH BARRY ZIANIDe Ferranti Hugh,W371
6(木),授業&試験,3-4,LAE.E358,TOEFL対策セミナー（リーディング＆ライティング）第十二,※JONATHAN ABEL※Abel Jonathan,H119B
6(木),授業,3-4,LAL.G204-06,ドイツ語初級４ D21,※小笠原 能仁※Ogasawara Yoshihito,W611
6(木),期末試験,3-4,LAS.I122-12,コンピュータサイエンス第二 6b(CS2),※伊知地 宏※Ichiji Hiroshi,W323
6(木),期末試験,5-6,EEE.C211,アナログ電子回路,"鈴木 左文, ファム ナムハイSuzuki Safumi, Pham Nam Hai",S221
6(木),授業,5-6,LAE.E214-19,英語第八 19-LS,※NARUM PAUL TIMOTHY※Narum Paul,H104
6(木),授業,5-6,LAE.E214-21,英語第八 21-RW,※中村 彰※Nakamura Akira,3ラボ
6(木),授業,5-6,LAE.E214-23,英語第八 23-RW,※小堀 洋※Kobori Hiroshi,W331
6(木),授業&試験,5-6,LAE.E214-40,英語第八 40-LS,※STONEBURGH MARK※Stoneburgh Mark,W371
6(木),授業,5-6,LAH.S110,教養特論：ファッション論,※高村 是州※Takamura Zeshu,S222
6(木),授業,5-6,LAS.M105-09,微分積分学第二 W,PURKAIT SOMAPurkait Soma,H111
6(木),授業,5-6,LAW.W221-47,生涯スポーツ実習 D16,※若山 章信※Wakayama Akinobu,"屋内運動場,グラウンド,テニスコート"
6(木),授業,5-6,XES.A104,環境・社会理工学院専門基礎３,中村 隆志，錦澤 滋雄 他Nakamura Takashi，Nishikizawa Shigeo et al.,W641
6(木),授業,5-8,MAT.A252,"材料科学実験（M, P, C）第三","宮内 雅浩,鞠谷 雄士 他Miyauchi Masahiro,Kikutani Takeshi et al.","南7,8号館"
6(木),期末試験,7-8,CVE.A210,土木振動学,盛 川 仁Morikawa Hitoshi,M321
6(木),授業&試験,7-8,LAE.E244-02,英語プレゼンテーション演習第八 2,※JONATHAN ABEL※Abel Jonathan,1ラボ
6(木),期末試験,7-8,LAS.P104-06,電磁気学基礎２ F,藤岡 宏之Fujioka Hiroyuki,H101
6(木),授業,7-8,LAW.W221-50,生涯スポーツ実習 D19,※若山 章信※Wakayama Akinobu,"屋内運動場,グラウンド,テニスコート"
6(木),期末試験,7-8,MAT.P312,有機化学(機能)B,道信 剛志Michinobu Tsuyoshi,S8-102
6(木),授業,9-10,LAE.E114-03,英語第四 3-LS-ADV,※NARUM PAUL TIMOTHY※Narum Paul,W332
7(金),授業,1-2,ARC.A205,建築数理,"大佛 俊泰,田村 哲郎 他Osaragi Toshihiro, Tamura Tetsuro et al.",M114
7(金),期末試験,1-2,CAP.C204,化工熱力学,青木 才子Aoki Saiko,W611
7(金),期末試験,1-2,CHM.D303,有機化学演習第三,"江口 正,鈴木 啓介 他Eguchi Tadashi, Suzuki Keisuke et al.",H116
7(金),期末試験,1-2,EEE.M241,離散時間システム,黒澤 実Kurosawa Minoru,S221
7(金),期末試験,1-2,EEE.S361,光エレクトロニクス,"小山 二三夫,植之原 裕行Koyama Fumio,Uenohara Hiroyuki",S622
7(金),期末試験,1-2,ICT.M316,数値解析（情報通信）,"金子 寛彦, 長谷川 晶一Kaneko Hirohiko,Hasegawa Shoichi",W331
7(金),期末試験,1-2,LAS.C105-12,量子化学基礎 J,大島 康裕Ohshima Yasuhiro,H121
7(金),期末試験,1-2,LAS.C105-15,量子化学基礎 M,大島 康裕Ohshima Yasuhiro,H121
7(金),期末試験,1-2,LAS.C105-16,量子化学基礎 N,小松 隆之Komatsu Takayuki,W933
7(金),期末試験,1-2,LAS.C105-17,量子化学基礎 O,※長村 吉洋※Osamura Yoshihiro,W242
7(金),期末試験,1-2,LAS.M105-05,微分積分学第二 M(1～10),※申 正善※Shin Jongson,W521
7(金),期末試験,1-2,LAS.M105-06,微分積分学第二 N(11～20),土岡 俊介Tsuchioka Shunsuke,W541
7(金),期末試験,1-2,LAS.P104-09,電磁気学基礎２ I,TILMA TODD EDWARDTilma Todd,H103
7(金),期末試験,1-2,LAS.P104-10,電磁気学基礎２ J,田中 秀数Tanaka Hidekazu,W241
7(金),期末試験,1-2,LAS.P104-11,電磁気学基礎２ K,須山 輝明Suyama Teruaki,W621
7(金),期末試験,1-2,LAS.P104-12,電磁気学基礎２ L,平山 博之Hirayama Hiroyuki,H101
7(金),期末試験,1-2,LST.A248,遺伝学,"立花 和則,若林 憲一 他Tachibana Kazunori, Wakabayashi Ken-Ichiet al.",W631
7(金),授業,3-4,CVE.M302,応用数値解析・演習,中村 恭志Nakamura Takashi,W934
7(金),期末試験,3-4,EEE.P301,電気機器工学,"千葉 明,萩原 誠Chiba Akira,Hagiwara Makoto",S221
7(金),期末試験,3-4,ICT.I317,組み込みシステム,"長谷川 晶一,中原 啓貴Hasegawa Shoichi, Nakahara Hiroki",W621
7(金),期末試験,3-4,LAS.C107-15,化学熱力学基礎 E,沖本 洋一Okimoto Yoichi,W241
7(金),期末試験,3-4,LAS.C107-16,化学熱力学基礎 F,伊原 学Ihara Manabu,S222
7(金),期末試験,3-4,LAS.M105-09,微分積分学第二 W,PURKAIT SOMAPurkait Soma,H111
7(金),期末試験,3-4,LAS.M106-06,線形代数学第二 Q(41～50),※寺尾 宏明※Terao Hiroaki,H101
7(金),期末試験,3-4,LAS.M106-07,線形代数学第二 R(51～60),土岡 俊介Tsuchioka Shunsuke,W541
7(金),期末試験,3-4,LAS.P104-13,電磁気学基礎２ M,横山 毅人Yokoyama Takehito,W521
7(金),期末試験,3-4,LAS.P104-15,電磁気学基礎２ O,足立 聡Adachi Satoshi,W631
7(金),期末試験,3-4,LAS.P104-16,電磁気学基礎２ P,西田 祐介Nishida Yusuke,W331
7(金),期末試験,3-4,LST.A246,生命情報学,"伊藤 武彦,櫻井 実 他Itoh TakehikoSakurai Minoru et al.",H136
7(金),期末試験,3-4,MAT.P221,有機材料構造A,扇澤 敏明Ougizawa Toshiaki,S8-102
7(金),期末試験,3-4,MCS.T232,複素解析,"西畑 伸也,梅原 雅顕 他Nishibata Shinya,Umehara Masaaki et al.",W242
7(金),期末試験,3-4,PHY.C341,物性物理学I,"平原 徹,平山 博之Hirahara Toru,Hirayama Hiroyuki",H135
7(金),期末試験,3-4,PHY.Q208,量子力学II,"慈道 大介,村上 雄太 他Jido Daisuke,Murakami Yuta et al.",W933
7(金),授業,3-4,SCE.I351,先端センシングテクノロジー,"※金川 信康,※古谷 利器※Kanekawa Nobuyasu,※Huruya Riki",S515
7(金),期末試験,3-4,ZUA.A203,代数学概論第二,内藤 聡Naito Satoshi,H112
7(金),期末試験,3-4,ZUB.Q206,量子力学第二,慈道 大介Jido Daisuke,W933
7(金),授業,3-8,MEC.H331,機械設計製図,"大河 誠司, 平田 敦 他Okawa Seiji,Hirata Atsushi et al.","石川台3号館301,302,303,310号室,石川台6号館315号室"
7(金),授業,3-8,MEC.Q201,機械システム学,"赤坂 大樹,髙原 弘樹 他Akasaka Hiroki, Takahara Hiroki et al.","石川台3号館,201A,201B,201C号,室"
7(金),期末試験,3-8,MTH.A204,代数学概論第四,"内藤 聡,KELLY SHANE ANDREW 他Naito Satoshi, Kelly Shane et al.",H112
7(金),期末試験,5-6,CSC.T374,システム制御,石井 秀明Ishii Hideaki,W611
7(金),期末試験,5-6,CVE.L212,土木工学英語第三,"WIJEYEWICKREMA ANIL CHRISTOPHER BUI QUOC TINHWijeyewickrema Anil, Bui Tinh Quoc",緑が丘5号館M5会議室
7(金),期末試験,5-6,EEE.P341,電力エネルギー変換工学,小栗 慶之Oguri Yoshiyuki,S224
7(金),授業,5-6,LAW.W131-44,生涯ウェルネス実習 B16,※山元 健太※Yamamoto Kenta,屋内運動場（グラウンド・テニスコート）
7(金),期末試験,5-6,PHY.F352,宇宙物理学,河 合 誠 之 Kawai Nobuyuki,H135
7(金),期末試験,5-6,SCE.S303,バイオシステム基礎,"中島 求,倉林 大輔 他Nakashima Motomu, Kurabayashi Daisuke etal.",S621
7(金),期末試験,5-6,TSE.A314,水・物質循環システム概論,木内 豪Kinouchi Tsuyoshi,S515
7(金),期末試験,5-6,MAT.C201,無機量子化学,"矢野 哲司, 松下 伸広Yano Tetsuji, Matsushita Nobuhiro",S7-201
7(金),授業,5-8,MAT.P352,有機材料工学実験第三,"森川 淳子,赤坂 修一 他Morikawa Junko, Akasaka Syuichi et al.","S8-108,S8-109"
7(金),期末試験,5-8,MCS.T233,計算機システム,"遠藤 敏夫,額田 彰Endo Toshio,Nukada Akira",W621
7(金),期末試験,7-8,CAP.P343,高分子工業化学,芹澤 武Serizawa Takeshi,S224
7(金),授業,7-8,CSC.T342,問題解決と意思決定,"出口 弘, 小野 功 他Deguchi Hiroshi, Ono Isao et al.",W611
7(金),期末試験,7-8,EEE.C341,集積回路工学,若 林 整 Wakabayashi Hitoshi,S222
7(金),期末試験,7-8,ICT.I216,計算機論理設計（情報通信）,"一色 剛, 渡辺 義浩Isshiki Tsuyoshi,Watanabe Yoshihiro",S622
7(金),授業,7-8,LAW.W131-46,生涯ウェルネス実習 B18,※山元 健太※Yamamoto Kenta,屋内運動場（グラウンド・テニスコート）
7(金),期末試験,7-8,MAT.P215,無機化学,森 健彦Mori Takehiko,S8-102
7(金),授業,7-8,PHY.L210,計算物理,※板橋 健太※Itahashi Kenta,南4号館情報ネットワーク演習室第２演習室
7(金),授業,7-8,TSE.A317,環境流体力学基礎,中村 恭志Nakamura Takashi,S621
7(金),期末試験,9-10,LAS.B104-01,生命科学基礎第二２ A,"中村 聡, 福居 俊昭 他Nakamura Satoshi,Fukui Toshiaki et al.",H121・・・14～18B学生19B00013～19B12654W521・・・19B12795～19B40372W541・・・19B40389～19B51370
7(金),期末試験,9-10,LAS.B104-02,生命科学基礎第二２ B,"中村 聡, 福居 俊昭 他Nakamura Satoshi,Fukui Toshiaki et al.",H121・・・14～18B学生19B00013～19B12654W521・・・19B12795～19B40372W541・・・19B40389～19B51370
7(金),期末試験,9-10,LAS.B104-03,生命科学基礎第二２ C,"中村 聡,福居 俊昭 他Nakamura Satoshi,Fukui Toshiaki et al.",H121・・・14～18B学生19B00013～19B12654W521・・・19B12795～19B40372W541・・・19B40389～19B51370
7(金),期末試験,9-10,LAS.B104-04,生命科学基礎第二２ D,"中村 聡,福居 俊昭 他Nakamura Satoshi,Fukui Toshiaki et al.",H121・・・14～18B学生19B00013～19B12654W521・・・19B12795～19B40372W541・・・19B40389～19B51370
7(金),期末試験,9-10,LAS.B104-05,生命科学基礎第二２ E,"中村 聡,福居 俊昭 他Nakamura Satoshi, Fukui Toshiaki et al.",H121・・・14～18B学生19B00013～19B12654W521・・・19B12795～19B40372W541・・・19B40389～19B51370
7(金),期末試験,9-10,LAS.B104-06,生命科学基礎第二２ F,"中村 聡, 福居 俊昭 他Nakamura Satoshi, Fukui Toshiaki et al.",H121・・・14～18B学生19B00013～19B12654W521・・・19B12795～19B40372W541・・・19B40389～19B51370
7(金),期末試験,9-10,LAS.B104-07,生命科学基礎第二２ G,"中村 聡, 福居 俊昭 他Nakamura Satoshi,Fukui Toshiaki et al.",H121・・・14～18B学生19B00013～19B12654W521・・・19B12795～19B40372W541・・・19B40389～19B51370
7(金),期末試験,9-10,LAS.B104-08,生命科学基礎第二２ H,"中村 聡,福居 俊昭 他Nakamura Satoshi, Fukui Toshiaki et al.",H121・・・14～18B学生19B00013～19B12654W521・・・19B12795～19B40372W541・・・19B40389～19B51370
7(金),期末試験,9-10,LAS.B104-09,生命科学基礎第二２ K,TAKAHASHI MASAYUKITakahashi Masayuki,H137
