,科目名,科目コード,開講Q・時限・場所,教員名
1,コンピュータサイエンス第一 1b(CS1),LAS.I121-02,3Q：月1-2 (W641),新山 祐介
2,コンピュータサイエンス第二 1b(CS2),LAS.I122-02,4Q：月1-2 (W641),新山 祐介
3,微分積分学第二 S(61～70),LAS.M105-03,3Q：火1-2 (H101)3Q：木3-4,小野寺 有紹
4,線形代数学第二 S(61～70),LAS.M106-08,4Q：火1-2 (W541)4Q：木3-4,黒川 信重
5,英語第三 41-RW,LAE.E113-41,3Q：木1-2 (S513),小泉 勇人
6,英語第四 41-RW,LAE.E114-41,4Q：木1-2 (S513),小泉 勇人
7,化学熱力学基礎 J,LAS.C107-02,3Q：火3-4 (W351),福原 学
8,量子化学基礎 J,LAS.C105-12,4Q：火3-4 (W351),大島 康裕
9,微分積分学演習第二 S(61～70),LAS.M107-03,3Q：水3-4 (W521),伊藤 昇
10,線形代数学演習第二 S(61～70),LAS.M108-08,4Q：水3-4 (H101),若林 泰央
11,微分積分学第二 S(61～70),LAS.M105-03,3Q：火1-23Q：木3-4 (H101),小野寺 有紹
12,線形代数学第二 S(61～70),LAS.M106-08,4Q：火1-24Q：木3-4 (W541),黒川 信重
13,電磁気学基礎１ N,LAS.P103-14,3Q：金3-4 (W323),大熊 哲
14,電磁気学基礎２ N,LAS.P104-14,4Q：金3-4 (W323),大熊 哲
15,歴史学Ａ ,LAH.H105,3Q：月5-6 (W611),福留 真紀
16,教養特論：ファッション論 ,LAH.S110,4Q：月5-6 (S222),高村 是州
17,メディア論Ａ ,LAH.S112,4Q：月5-6 (H101),柳瀬 博一
18,TOEFL対策セミナー（リスニング＆スピーキング）第三 2,LAE.E153-02,3Q：水5-6 (W331),STONEBURGH MARK
19,TOEFL対策セミナー（リスニング＆スピーキング）第四 2,LAE.E154-02,4Q：水5-6 (W331),STONEBURGH MARK
20,バイオものつくり２【生命理工学院】 ,XLS.B103,"3Q：金5-6 (M113,H102,W832,W931)",清尾 康志  他
21,化学実験第二 B,LAS.C112-02,3～4Q：火7-10 (W521),小松 隆之  他
22,物理学演習第二 n,LAS.P106-14,3～4Q：金7-8 (H113),大熊 哲
23,物理学実験第二 Fr,LAS.P108-04,3～4Q：金7-10 (西2号館教養科目物理学実験室Introductory Physics Laboratory),陣内 修  他
